"Relative Time","Connection Shutdowns","New Connections"
"00:00","0","0"
"00:02","0","0"
"00:04","0","0"
"00:06","0","0"
"00:08","0","0"
"00:10","0","0"
"00:12","0","0"
"00:14","0","0"
"00:16","0","0"
"00:18","0","0"
"00:20","0","0"
"00:22","3","6"
"00:24","17","17"
"00:26","16","16"
"00:28","15","15"
"00:30","12","12"
"00:32","4","4"
"00:34","12.5","12.5"
"00:36","26.5","29"
"00:38","23.5","23.5"
"00:40","27.5","27.5"
"00:42","28.5","28.5"
"00:44","25.5","25.5"
"00:46","27","27"
"00:48","27","27"
"00:50","26.5","26.5"
"00:52","29.5","29.5"
"00:54","25","25"
"00:56","28.5","28.5"
"00:58","28","28"
"01:00","18.5","13"
"01:02","0","0"
